max_depth,min_child_weight,mean_score,std_score
7,10.0,0.1746333762457686,0.004780915948271517
5,1.0,0.17476448021166707,0.004453103288176196
7,1.0,0.17478306282059533,0.0048080866262362005
6,1.0,0.17478816655048052,0.004628446111812254
5,5.0,0.1748091156680285,0.004556071692646974
3,5.0,0.17504101048817397,0.0047173351981232734
5,10.0,0.17506720098984946,0.0045448054113301824
6,5.0,0.1750847991931541,0.004726562573152986
8,1.0,0.1750948460807257,0.005264552790946333
6,10.0,0.17512666751280243,0.004551183310942645
4,1.0,0.17512993045434097,0.004748622846150477
8,10.0,0.1751354053835656,0.00470295078961079
3,1.0,0.17514417558501605,0.004631154905286011
3,10.0,0.17514732070258304,0.004706186630293002
7,5.0,0.1751480172579768,0.004843965105426069
4,5.0,0.1752081398104586,0.00460750134752885
4,10.0,0.17531352398531588,0.004768945820579969
8,5.0,0.1755839044077691,0.005079465558374862
